DTXSID;PREFERRED NAME;CASRN;INCHIKEY;IUPAC NAME;SMILES;INCHI STRING;MOLECULAR FORMULA;AVERAGE MASS;MONOISOTOPIC MASS;QC Level;# ToxCast Active;Total Assays;% ToxCast Active;Origin;Similarity to TPP [tanimoto]
DTXSID10192006;Tris(4-chlorophenyl) phosphate;3871-31-6;DFQHFXCKNSCDFW-UHFFFAOYSA-N;Tris(4-chlorophenyl) phosphate;ClC1=CC=C(OP(=O)(OC2=CC=C(Cl)C=C2)OC2=CC=C(Cl)C=C2)C=C1;"InChI=1S/C18H12Cl3O4P/c19-13-1-7-16(8-2-13)23-26(22,24-17-9-3-14(20)4-10-17)25-18-11-5-15(21)6-12-18/h1-12H
";C18H12Cl3O4P;429.61;427.953879;; ;;;Comptox similarity search to TPP;0.820512831
DTXSID10960025;3,5-Dimethylphenyl dihydrogen phosphate;39289-88-8;AFQJYYPIAZDTHT-UHFFFAOYSA-N;3,5-Dimethylphenyl dihydrogen phosphate;CC1=CC(OP(O)(O)=O)=CC(C)=C1;"InChI=1S/C8H11O4P/c1-6-3-7(2)5-8(4-6)12-13(9,10)11/h3-5H,1-2H3,(H2,9,10,11)
";C8H11O4P;202.146;202.039496;5; ;;;Comptox similarity search to TPP;0.815789461
DTXSID60826521;Ethyl 2-hydroxyphenyl phosphate;87110-09-6;VOGRTRHBKKIGDP-UHFFFAOYSA-M;Ethyl 2-hydroxyphenyl phosphate;CCOP([O-])(=O)OC1=CC=CC=C1O;"InChI=1S/C8H11O5P/c1-2-12-14(10,11)13-8-6-4-3-5-7(8)9/h3-6,9H,2H2,1H3,(H,10,11)/p-1
";C8H10O5P;217.137;217.027134;5; ;;;Comptox similarity search to TPP;0.800000012
DTXSID10575310;Butyl phenyl hydrogen phosphate;46438-39-5;GTORMKXYQMWBEP-UHFFFAOYSA-N;Butyl phenyl hydrogen phosphate;CCCCOP(O)(=O)OC1=CC=CC=C1;"InChI=1S/C10H15O4P/c1-2-3-9-13-15(11,12)14-10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3,(H,11,12)
";C10H15O4P;230.2;230.070796;5; ;;;Comptox similarity search to TPP;0.800000012
DTXSID60813118;Ethyl methyl naphthalen-1-yl phosphate;61911-61-3;YQSILOWALRPZBN-UHFFFAOYSA-N;Ethyl methyl naphthalen-1-yl phosphate;CCOP(=O)(OC)OC1=CC=CC2=CC=CC=C12;"InChI=1S/C13H15O4P/c1-3-16-18(14,15-2)17-13-10-6-8-11-7-4-5-9-12(11)13/h4-10H,3H2,1-2H3
";C13H15O4P;266.233;266.070796;5; ;;;Comptox similarity search to TPP;0.800000012
DTXSID60191226;Phosphoric acid, dimethyl (4-phenylphenyl) ester;37782-02-8;SIMWKODISLDWLX-UHFFFAOYSA-N;[1,1'-Biphenyl]-4-yl dimethyl phosphate;COP(=O)(OC)OC1=CC=C(C=C1)C1=CC=CC=C1;"InChI=1S/C14H15O4P/c1-16-19(15,17-2)18-14-10-8-13(9-11-14)12-6-4-3-5-7-12/h3-11H,1-2H3
";C14H15O4P;278.244;278.070796;4; ;;;Comptox similarity search to TPP;0.800000012
DTXSID90187334;Phosphoric acid, diethyl 1-naphthalenyl ester;33650-14-5;GTLTVBNVOHZJHA-UHFFFAOYSA-N;Diethyl naphthalen-1-yl phosphate;CCOP(=O)(OCC)OC1=CC=CC2=CC=CC=C12;"InChI=1S/C14H17O4P/c1-3-16-19(15,17-4-2)18-14-11-7-9-12-8-5-6-10-13(12)14/h5-11H,3-4H2,1-2H3
";C14H17O4P;280.26;280.086446;4; ;;;Comptox similarity search to TPP;0.800000012
DTXSID30395850;bis(2-methylpropyl) phenyl phosphate;38299-61-5;TZOHKIXYILEQDW-UHFFFAOYSA-N;Bis(2-methylpropyl) phenyl phosphate;CC(C)COP(=O)(OCC(C)C)OC1=CC=CC=C1;"InChI=1S/C14H23O4P/c1-12(2)10-16-19(15,17-11-13(3)4)18-14-8-6-5-7-9-14/h5-9,12-13H,10-11H2,1-4H3
";C14H23O4P;286.308;286.133396;5; ;;;Comptox similarity search to TPP;0.800000012
DTXSID50873428;Dibutyl phenyl phosphate;2528-36-1;YICSVBJRVMLQNS-UHFFFAOYSA-N;Dibutyl phenyl phosphate;CCCCOP(=O)(OCCCC)OC1=CC=CC=C1;"InChI=1S/C14H23O4P/c1-3-5-12-16-19(15,17-13-6-4-2)18-14-10-8-7-9-11-14/h7-11H,3-6,12-13H2,1-2H3
";C14H23O4P;286.308;286.133396;1; ;;;Comptox similarity search to TPP;0.800000012
DTXSID1062623;Butyl diphenyl phosphate;2752-95-6;DIBUFQMCUZYQKN-UHFFFAOYSA-N;Butyl diphenyl phosphate;CCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C16H19O4P/c1-2-3-14-18-21(17,19-15-10-6-4-7-11-15)20-16-12-8-5-9-13-16/h4-13H,2-3,14H2,1H3
";C16H19O4P;306.298;306.102096;1; ;;;Comptox similarity search to TPP;0.800000012
DTXSID30393098;Phosphoric acid, 2-methylpropyl diphenyl ester;38299-60-4;YGZXVFAXIZVTTH-UHFFFAOYSA-N;2-Methylpropyl diphenyl phosphate;CC(C)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C16H19O4P/c1-14(2)13-18-21(17,19-15-9-5-3-6-10-15)20-16-11-7-4-8-12-16/h3-12,14H,13H2,1-2H3
";C16H19O4P;306.298;306.102096;5; ;;;Comptox similarity search to TPP;0.800000012
DTXSID60346431;2-Methoxyethyl diphenyl phosphate;65444-10-2;ZGPIVNOGYHJEMI-UHFFFAOYSA-N;2-Methoxyethyl diphenyl phosphate;COCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C15H17O5P/c1-17-12-13-18-21(16,19-14-8-4-2-5-9-14)20-15-10-6-3-7-11-15/h2-11H,12-13H2,1H3
";C15H17O5P;308.27;308.081361;5; ;;;Comptox similarity search to TPP;0.800000012
DTXSID00307364;BIS(3-CHLOROPHENOXY)PHOSPHINIC ACID;79850-87-6;CFJQLIQGZQDAGG-UHFFFAOYSA-N;Bis(3-chlorophenyl) hydrogen phosphate;OP(=O)(OC1=CC(Cl)=CC=C1)OC1=CC(Cl)=CC=C1;"InChI=1S/C12H9Cl2O4P/c13-9-3-1-5-11(7-9)17-19(15,16)18-12-6-2-4-10(14)8-12/h1-8H,(H,15,16)
";C12H9Cl2O4P;319.07;317.961551;5; ;;;Comptox similarity search to TPP;0.800000012
